Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,3月,1至3月,3月,1至3月,3月,1至3月,进出口,出口,进口
总值,376625858,1030132241,225149118,613137191,151476740,416995051,1.3,6.9,-6.0
北京市,26719065,71989435,5391745,14808995,21327320,57180440,-20.9,2.2,-25.3
中关村国家自主创新示范区,492398,1304383,160906,494235,331491,810148,6.2,-2.7,12.5
北京经济技术开发区,1649005,4351044,608413,1483178,1040592,2867866,2.4,18.5,-4.3
天津市,6472033,18558554,3426051,9288946,3045982,9269609,-3.6,-0.6,-6.5
天津滨海新区,4435124,12674936,1983744,5228377,2451380,7446558,-4.4,-4.7,-4.2
天津经济技术开发区,2072690,5221753,1047808,2592091,1024882,2629662,0.0,3.4,-3.2
天津滨海高新技术产业开发区,179201,490929,150889,422645,28312,68285,-8.3,1.0,-41.6
河北省,4484333,13646473,2973395,8336961,1510938,5309512,-9.5,-4.3,-16.5
石家庄市,1031573,3096775,706759,1965223,324813,1131553,1.3,11.1,-12.1
石家庄高新技术产业开发区,700,1613,700,1613,-,-,-29.6,-6.2,-
唐山市,924635,3104771,315339,928185,609296,2176586,-25.6,-23.6,-26.4
曹妃甸经济技术开发区,38116,88282,3944,19724,34172,68558,-59.3,-84.1,-26.2
秦皇岛市,334426,935688,251544,704383,82882,231305,-1.8,0.7,-8.7
秦皇岛经济技术开发区,231128,698207,191945,552633,39183,145574,2.8,11.6,-20.8
保定市,674617,1866737,650958,1785278,23659,81458,10.8,11.0,6.0
保定高新技术产业开发区,1585,4561,1531,4421,54,140,-8.2,-5.7,-49.8
廊坊市,270141,1079386,179543,544379,90598,535007,-6.8,-10.8,-2.3
廊坊经济技术开发区,4975,21370,4576,9607,400,11763,-85.3,59.4,-91.6
雄安新区,26458,110408,22407,95413,4050,14995,72.0,90.3,6.7
山西省,1174317,3555207,591660,1831160,582658,1724046,-22.8,-35.8,-1.5
