Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,3193429791330.0,771536340514.9999,2421893450815.0,5.9,-1.1,8.4
,杭州地区,515379000045.0,147424210767.0,367954789278.0,7.2,-3.8,12.3
,湖州地区,105023814693.0,7737786806.0,97286027887.0,4.6,0.9,4.9
,嘉兴地区,283508642160.0,67319245072.0,216189397088.0,3.7,4.7,3.4
,金华地区,598106840708.0,66995136561.0,531111704147.0,20.4,18.1,20.7
,丽水地区,26986984058.0,3595933987.0,23391050071.0,21.8,44.9,18.9
,宁波地区,843003574130.0,271089960892.0,571913613238.0,4.6,-2.4,8.3
,衢州地区,47318462845.0,13431307938.000002,33887154907.0,6.2,-2.8,10.3
,绍兴地区,216206060246.0,14981739612.0,201224320634.0,-15.9,-32.6,-14.4
,台州地区,171295775234.0,14609323259.999998,156686451974.0,10.8,6.9,11.2
,温州地区,176601314852.0,23767336323.0,152833978529.0,6.6,-11.0,10.0
,舟山地区,209999322359.0,140584359297.0,69414963062.0,-1.7,-0.8,-3.6
, 单位：人民币，万元，%,,,,,,
